"Isotope"	"Halflife"	"Abundance"
"101Y"	1.42694063926941e-08	NA
"102Y"	1.14155251141553e-08	NA
"102m1Y"	9.51293759512938e-09	NA
"103Y"	7.29325215626586e-09	NA
"81Zr"	4.75646879756469e-07	NA
"82Zr"	1.01471334348047e-06	NA
"83Zr"	1.39523084728564e-06	NA
"84Zr"	4.92770167427702e-05	NA
"85Zr"	1.49543378995434e-05	NA
"85m1Zr"	3.45636732623034e-07	NA
"86Zr"	0.00188356164383562	NA
"87Zr"	0.000191780821917808	NA
"87m1Zr"	4.43937087772704e-07	NA
"88Zr"	0.228493150684932	NA
"89Zr"	0.00895091324200913	NA
"89m1Zr"	7.95281582952816e-06	NA
"93Zr"	1530000	NA
"95Zr"	0.175397260273973	NA
"96Zr"	3.8e+19	2.8
"97Zr"	0.00193036529680365	NA
"98Zr"	9.73490613901573e-07	NA
"99Zr"	6.65905631659056e-08	NA
"100Zr"	2.25139523084729e-07	NA
"101Zr"	7.29325215626585e-08	NA
"102Zr"	9.19583967529173e-08	NA
"103Zr"	4.1222729578894e-08	NA
"104Zr"	3.80517503805175e-08	NA
"105Zr"	1.90258751902588e-08	NA
"83Nb"	1.30010147133435e-07	NA
"84Nb"	3.80517503805175e-07	NA
"85Nb"	6.6273465246068e-07	NA
"86Nb"	2.79046169457128e-06	NA
"86m1Nb"	1.77574835109082e-06	NA
"87Nb"	4.94672754946728e-06	NA
"87m1Nb"	7.03957382039574e-06	NA
"88Nb"	2.75875190258752e-05	NA
"88m1Nb"	1.48401826484018e-05	NA
"89Nb"	0.00021689497716895	NA
"89m1Nb"	0.000134703196347032	NA
"90Nb"	0.00166666666666667	NA
"90m1Nb"	5.96461187214612e-07	NA
"91Nb"	680	NA
"91m1Nb"	0.166739726027397	NA
"92Nb"	34700000	NA
"92m1Nb"	0.0278082191780822	NA
"93m1Nb"	16.13	NA
"94Nb"	20300	NA
"94m1Nb"	1.19159056316591e-05	NA
"95Nb"	0.0958219178082192	NA
"95m1Nb"	0.00988584474885845	NA
"96Nb"	0.00266552511415525	NA
"97Nb"	0.000137176560121766	NA
"97m1Nb"	1.67110603754439e-06	NA
"98Nb"	9.06900050735667e-08	NA
"98m1Nb"	9.76027397260274e-05	NA
"99Nb"	4.75646879756469e-07	NA
"99m1Nb"	4.94672754946728e-06	NA
"100Nb"	4.75646879756469e-08	NA
"100m1Nb"	9.48122780314561e-08	NA
"101Nb"	2.25139523084729e-07	NA
"102Nb"	4.1222729578894e-08	NA
"102m1Nb"	1.36352105530188e-07	NA
"103Nb"	4.75646879756469e-08	NA
"104Nb"	1.5220700152207e-07	NA
"104m1Nb"	2.91730086250634e-08	NA
"105Nb"	9.35438863521055e-08	NA
"106Nb"	3.23439878234399e-08	NA
"108Nb"	6.11998985286657e-09	NA
